TamanoPagina,NFilas,NColumnas,NRegistros,NP,NombreImagen
512,256,384,81956,576,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/caso2-parrots_mod.bmp
512,205,246,1682,295,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi100.bmp
512,205,246,16999,295,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi1000.bmp
512,205,246,38997,295,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi2000.bmp
512,205,246,70498,295,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi4000.bmp
512,205,246,139943,295,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi8000.bmp
512,407,612,1682,1459,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado100.bmp
512,407,612,16999,1459,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado1000.bmp
512,407,612,38997,1459,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado2000.bmp
512,407,612,70498,1459,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado4000.bmp
512,407,612,139943,1459,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado8000.bmp
1024,256,384,81956,288,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/caso2-parrots_mod.bmp
1024,205,246,1682,147,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi100.bmp
1024,205,246,16999,147,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi1000.bmp
1024,205,246,38997,147,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi2000.bmp
1024,205,246,70498,147,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi4000.bmp
1024,205,246,139943,147,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi8000.bmp
1024,407,612,1682,729,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado100.bmp
1024,407,612,16999,729,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado1000.bmp
1024,407,612,38997,729,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado2000.bmp
1024,407,612,70498,729,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado4000.bmp
1024,407,612,139943,729,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado8000.bmp
