TamanoPagina,NombreImagen,MarcosPagina,Hits,Misses,Tiempo,TotalAccesos,TiempoRam,TiempoSwap,PorcentajeAciertos
512,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/caso2-parrots_mod.bmp,4,81868,88,882,81956,2,819560,99
512,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/caso2-parrots_mod.bmp,8,81876,80,802,81956,2,819560,99
512,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi100.bmp,4,1682,0,0,1682,0,16820,100
512,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi100.bmp,8,1682,0,0,1682,0,16820,100
512,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi1000.bmp,4,16985,14,140,16999,0,169990,99
512,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi1000.bmp,8,16989,10,100,16999,0,169990,99
512,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi2000.bmp,4,38958,39,390,38997,0,389970,99
512,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi2000.bmp,8,38964,33,330,38997,0,389970,99
512,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi4000.bmp,4,70424,74,741,70498,1,704980,99
512,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi4000.bmp,8,70432,66,661,70498,1,704980,99
512,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi8000.bmp,4,139790,153,1533,139943,3,1399430,99
512,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi8000.bmp,8,139805,138,1383,139943,3,1399430,99
512,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado100.bmp,4,1682,0,0,1682,0,16820,100
512,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado100.bmp,8,1682,0,0,1682,0,16820,100
512,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado1000.bmp,4,16985,14,140,16999,0,169990,99
512,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado1000.bmp,8,16989,10,100,16999,0,169990,99
512,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado2000.bmp,4,38957,40,400,38997,0,389970,99
512,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado2000.bmp,8,38964,33,330,38997,0,389970,99
512,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado4000.bmp,4,70423,75,751,70498,1,704980,99
512,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado4000.bmp,8,70432,66,661,70498,1,704980,99
512,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado8000.bmp,4,139788,155,1553,139943,3,1399430,99
512,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado8000.bmp,8,139805,138,1383,139943,3,1399430,99
1024,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/caso2-parrots_mod.bmp,4,81916,40,402,81956,2,819560,99
1024,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/caso2-parrots_mod.bmp,8,81921,35,352,81956,2,819560,99
1024,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi100.bmp,4,1682,0,0,1682,0,16820,100
1024,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi100.bmp,8,1682,0,0,1682,0,16820,100
1024,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi1000.bmp,4,16994,5,50,16999,0,169990,99
1024,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi1000.bmp,8,16998,1,10,16999,0,169990,99
1024,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi2000.bmp,4,38979,18,180,38997,0,389970,99
1024,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi2000.bmp,8,38984,13,130,38997,0,389970,99
1024,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi4000.bmp,4,70462,36,361,70498,1,704980,99
1024,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi4000.bmp,8,70468,30,301,70498,1,704980,99
1024,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi8000.bmp,4,139871,72,723,139943,3,1399430,99
1024,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/capi8000.bmp,8,139877,66,663,139943,3,1399430,99
1024,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado100.bmp,4,1682,0,0,1682,0,16820,100
1024,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado100.bmp,8,1682,0,0,1682,0,16820,100
1024,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado1000.bmp,4,16994,5,50,16999,0,169990,99
1024,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado1000.bmp,8,16998,1,10,16999,0,169990,99
1024,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado2000.bmp,4,38980,17,170,38997,0,389970,99
1024,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado2000.bmp,8,38984,13,130,38997,0,389970,99
1024,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado4000.bmp,4,70462,36,361,70498,1,704980,99
1024,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado4000.bmp,8,70468,30,301,70498,1,704980,99
1024,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado8000.bmp,4,139872,71,713,139943,3,1399430,99
1024,C:/Users/pablo/OneDrive/Documents/Universidad/Infra comp/caso2/data/venado8000.bmp,8,139877,66,663,139943,3,1399430,99
